player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Souleymane Camara,SEN,FW,Montpellier,Ligue 1,28,33,1936,9,5,2011-2012,True,0.6508
Zoumana Camara,FRA,DF,Paris Saint-Germain,Ligue 1,32,19,1618,0,0,2011-2012,False,0.0
Igor de Camargo,BEL,"FW,MF",Gladbach,Bundesliga,28,25,1234,5,1,2011-2012,True,0.4376
Esteban Cambiasso,ARG,MF,Inter,Serie A,30,37,3109,4,2,2011-2012,True,0.1737
Cédric Cambon,FRA,"DF,MF",Evian,Ligue 1,24,33,2905,3,0,2011-2012,False,0.0929
Hugo Campagnaro,ARG,DF,Napoli,Serie A,31,31,2589,2,1,2011-2012,True,0.1043
Andrea Campagnolo,ITA,GK,Catania,Serie A,33,4,334,0,0,2011-2012,False,0.0
José Campaña,ESP,MF,Sevilla,La Liga,18,15,444,0,2,2011-2012,True,0.4054
DJ Campbell,ENG,FW,QPR,Premier League,29,11,328,1,0,2011-2012,False,0.2744
Fraizer Campbell,ENG,FW,Sunderland,Premier League,23,12,638,1,1,2011-2012,True,0.2821
Joel Campbell,CRC,"FW,MF",Lorient,Ligue 1,19,25,1180,3,1,2011-2012,True,0.3051
Michele Camporese,ITA,DF,Fiorentina,Serie A,19,7,499,0,0,2011-2012,False,0.0
David Camps,FRA,MF,Auxerre,Ligue 1,21,2,22,0,0,2011-2012,False,0.0
Javier Camuñas,ESP,"FW,MF",Villarreal,La Liga,31,27,1185,1,2,2011-2012,True,0.2278
Lorik Cana,ALB,"DF,MF",Lazio,Serie A,28,15,787,2,0,2011-2012,False,0.2287
Sergio Canales,ESP,"FW,MF",Valencia,La Liga,20,11,571,1,2,2011-2012,True,0.4729
José Cañas,ESP,MF,Real Betis,La Liga,24,22,1604,0,0,2011-2012,False,0.0
Antonio Candreva,ITA,"FW,MF",Cesena,Serie A,24,18,1357,2,2,2011-2012,True,0.2653
Antonio Candreva,ITA,"FW,MF",Lazio,Serie A,24,15,1006,3,0,2011-2012,False,0.2684
